station_id,station_name,station_code,latitude,longitude,timezone,city_id
230,Finhaut,StopPoint:OCETrain TER-85015651,46.082404,6.976131,Europe/Paris,4108
231,Le Chatelard VS,StopArea:OCE85015669,46.060289,6.958021,Europe/Paris,4976
232,Le Chatelard VS,StopPoint:OCETrain TER-85015669,46.060289,6.958021,Europe/Paris,4976
233,Le Châtelard Frontière,StopArea:OCE85015685,46.053259,6.950241,Europe/Paris,4977
234,Le Châtelard Frontière,StopPoint:OCETrain TER-85015685,46.053259,6.950241,Europe/Paris,4977
235,Zuerich HB,StopArea:OCE85030007,47.37817,8.54019,Europe/Paris,7831
236,Zuerich HB,StopPoint:OCELyria-85030007,47.37817,8.54019,Europe/Paris,7831
237,Travers,StopArea:OCE85042150,46.94241,6.67657,Europe/Paris,7390
238,Travers,StopPoint:OCECar TER-85042150,46.94241,6.67657,Europe/Paris,7390
239,Travers,StopPoint:OCETrain TER-85042150,46.94241,6.67657,Europe/Paris,7390
240,Neuchatel,StopArea:OCE85042218,46.99673,6.93571,Europe/Paris,5876
241,Neuchatel,StopPoint:OCETrain TER-85042218,46.99673,6.93571,Europe/Paris,5876
242,La Chaux-de-Fonds,StopArea:OCE85043141,47.09865,6.82603,Europe/Paris,4676
243,La Chaux-de-Fonds,StopPoint:OCETrain TER-85043141,47.09865,6.82603,Europe/Paris,4676
244,Le Crêt-du-Locle,StopArea:OCE85043158,47.0776,6.78519,Europe/Paris,4985
245,Le Crêt-du-Locle,StopPoint:OCETrain TER-85043158,47.0776,6.78519,Europe/Paris,4985
246,Le Locle,StopArea:OCE85043166,47.05786,6.74616,Europe/Paris,5000
247,Le Locle,StopPoint:OCECar TER-85043166,47.05786,6.74616,Europe/Paris,5000
248,Le Locle,StopPoint:OCETrain TER-85043166,47.05786,6.74616,Europe/Paris,5000
249,La Chaux-de-Fonds Les Forges,StopArea:OCE85043216,47.091404,6.812825,Europe/Paris,4677
250,La Chaux-de-Fonds Les Forges,StopPoint:OCETrain TER-85043216,47.091404,6.812825,Europe/Paris,4677
251,Bern,StopArea:OCE85070003,46.94882,7.43912,Europe/Paris,3013
252,Bern,StopPoint:OCETrain TER-85070003,46.94882,7.43912,Europe/Paris,3013
253,Lancy-Pont-Rouge,StopArea:OCE85161554,46.188897,6.125333,Europe/Paris,4889
254,Lancy-Pont-Rouge,StopPoint:OCETrain TER-85161554,46.188897,6.125333,Europe/Paris,4889
255,Genève-Champel,StopArea:OCE85162727,46.192191,6.153505,Europe/Paris,4263
256,Genève-Champel,StopPoint:OCETrain TER-85162727,46.192191,6.153505,Europe/Paris,4263
257,Genève-Eaux-Vives,StopArea:OCE85162735,46.201444,6.16658,Europe/Paris,4264
258,Genève-Eaux-Vives,StopPoint:OCETrain TER-85162735,46.201444,6.16658,Europe/Paris,4264
259,Chêne-Bourg,StopArea:OCE85162743,46.196607,6.197253,Europe/Paris,3626
260,Chêne-Bourg,StopPoint:OCETrain TER-85162743,46.196607,6.197253,Europe/Paris,3626
261,Genève-Sécheron,StopArea:OCE85162834,46.222438,6.144557,Europe/Paris,4265
262,Genève-Sécheron,StopPoint:OCETrain TER-85162834,46.222438,6.144557,Europe/Paris,4265
263,Lancy-Bachet,StopArea:OCE85171421,46.174333,6.129372,Europe/Paris,4888
264,Lancy-Bachet,StopPoint:OCETrain TER-85171421,46.174333,6.129372,Europe/Paris,4888
265,Les Fumeaux,StopArea:OCE85303032,46.1208,7.0522,Europe/Paris,5107
266,Les Fumeaux,StopPoint:OCETrain TER-85303032,46.1208,7.0522,Europe/Paris,5107
267,La Médettaz,StopArea:OCE85303347,46.108832,7.007843,Europe/Paris,4763
268,La Médettaz,StopPoint:OCETrain TER-85303347,46.108832,7.007843,Europe/Paris,4763
269,Chêne-Bourg Place Favre,StopArea:OCE85927137,46.195513,6.192267,Europe/Paris,3627
270,Chêne-Bourg Place Favre,StopPoint:OCECar TER-85927137,46.195513,6.192267,Europe/Paris,3627
271,Genève Eaux-Vives Gare,StopArea:OCE85928291,46.20011,6.1643,Europe/Paris,4262
272,Genève Eaux-Vives Gare,StopPoint:OCECar TER-85928291,46.20011,6.1643,Europe/Paris,4262
273,La Douzillère,StopArea:OCE87009696,47.338792,0.652962,Europe/Paris,4695
274,La Douzillère,StopPoint:OCETrain TER-87009696,47.338792,0.652962,Europe/Paris,4695
275,Le Puy-en-Velay Lafayette,StopArea:OCE87024380,45.043962,3.879959,Europe/Paris,5033
276,Le Puy-en-Velay Lafayette,StopPoint:OCECar TER-87024380,45.043962,3.879959,Europe/Paris,5033
277,Vignory Centre,StopArea:OCE87107409,48.278352,5.101419,Europe/Paris,7625
278,Vignory Centre,StopPoint:OCECar TER-87107409,48.278352,5.101419,Europe/Paris,7625
279,Chaumont Hôpital,StopArea:OCE87107417,48.119882,5.139408,Europe/Paris,3543
280,Chaumont Hôpital,StopPoint:OCECar TER-87107417,48.119882,5.139408,Europe/Paris,3543
