Nom_Gare;Trigramme;Segment(s) DRG;Position géographique;Code commune;Code_UIC;Id_Gare
Bailleul-Sir-Berthoult;BSH;C;50.3351257, 2.8409809;62073;87342592;733a5a7d-aaa2-4eb9-a9ef-888003afb953
Bailly;BLY;B;48.837331, 2.073981;78043;87710780;8baf346f-2956-428d-999f-a26d2f863250
Bains-les-Bains;BNS;C;47.9811282, 6.2952683;88108;87144147;5230d9f6-6411-4909-851d-6efe347c093b
Baisieux;BAI;C;50.61845, 3.2347796;59044;87286872;22e47a8b-5da0-4960-a872-e9c1b3b289d7
Balagny Saint-Épin;BXE;C;49.2942448, 2.3441977;60044;87313569;9a72b318-e476-4cbc-b90f-6f272f96ecd2
Balbigny;BBY;C;45.817858, 4.187443;42011;87726869;0db3d410-f1ba-4d19-bab5-f5f8e01be2ab
Ballan-Miré;BME;C;47.3369919, 0.6188975;37018;87571604;ea5c8c99-d5bb-413a-bf4c-41074c5c113c
Ballancourt-sur-Essonne;BUR;B;48.532114, 2.371274;91045;87681437;ff2acdf8-075f-4b4a-9f8e-e4f030861f74
Balsièges;BKB;C;44.4820108, 3.4560976;48016;87111864;c4449cb3-f03e-4c40-bf72-6e58db18d6a8
Banassac - La Canourgue;BAA;C;44.4477632, 3.1958518;48017;87783324;b3f94652-9ad6-448d-9dad-f53ed8ede752
Bandol;BND;B;43.140344, 5.750118;83009;87755223;837f75ae-7652-428f-b09d-77042f568696
Bannalec;BNC;C;47.9267473, -3.7065268;29004;87474189;9fe8a743-ba3f-47da-9a8e-b37ef0f8bc14
Bantzenheim;BTZ;C;47.8109675, 7.5038675;68020;87182840;f17e972c-663e-4881-bac1-6ebcee0aa31b
Banyuls-sur-Mer;BAN;B;42.4829582, 3.1250496;66016;87784298;f52250b1-6eda-4848-9fde-3f5d19083268
Bar-le-Duc;BLD;B;48.773308, 5.166822;55029;87175042;5452555e-c666-4734-a5af-960c4a396291
Bar-sur-Aube;BRB;C;48.2385399, 4.7066708;10033;87118299;18b48da0-2fb7-407d-898a-43e11235e01f
Baraqueville Carcenac Peyralès;BAQ;C;44.2704368, 2.4275453;12056;87615757;09f81b3e-1dcb-4459-ad56-5b980a815132
Barentin;BTM;B;49.549123, 0.953517;76057;87411264;76953777-beb7-42ca-9565-b2a3fad9191e
Barjac;BJC;C;44.4992638, 3.4109786;48018;87783563;72925f5a-1f29-41c4-9730-fd4d30a89bd3
Baroncourt;BTS;C;49.2845332, 5.6997387;55158;87192658;ba144005-c15a-4c40-8ae4-8425db522f52
Barr;BAR;B;48.4032933, 7.4565189;67021;87214247;fac97ee9-4a6e-432c-ba32-982d181bea7a
Barsac;BSQ;C;44.6054306, -0.3215775;33030;87582759;37affe29-823e-4226-ab9b-ca5631df6a48
Bartenheim;BTK;B;47.6349313, 7.4872561;68021;87182113;ac6d6e60-5424-4cd3-84b0-42d3262d855d
Bas - Monistrol-sur-Loire;BMO;B;45.297596, 4.139602;43020;87726778;aca61a1e-dc9c-44cd-b24f-66733169388b
Bas Évette;BEV;C;47.6810089, 6.8068494;90042;87184200;ecb46492-1de8-44ab-b485-246d542cf5f9
Base Aérienne;BAE;C;47.320184, 1.681869;41194;87699223;78ed4819-3ae6-4995-9523-2e903972f0a7
Basse-Ham;BHD;C;49.3805708, 6.2348709;57287;87191601;93219816-a50e-44fd-b00b-ac260090fd6b
Bassens;BAS;C;44.9012933, -0.5223144;33032;87581850;4722a263-d2f2-4e4a-89e7-61cb349d4f79
Batz-sur-Mer;BSK;C;47.2809541, -2.4789866;44010;87481770;47f93eae-e93d-4985-a06d-3b8f8037f34d
Baule;BLJ;C;47.8117535, 1.668127;45024;87574152;424cc967-bb5d-497d-951c-3bdb29954f13
Baume-les-Dames;BDA;B;47.353937, 6.359603;25047;87718460;55da221d-fe9a-404b-9fcd-72a623921c0c
Bauvin - Provin;BVP;B;50.51168, 2.9054;59052;87345280;879ac8a3-97e0-499c-8d80-df9de48ee443
Bayeux;BAY;B;49.269836, -0.698056;14047;87444067;9cee5c3b-cdb1-4ec5-b966-3d41635bc414
Bayon;BYN;B;48.468046, 6.322569;54585;87141218;caae25f1-9651-4ed2-903c-60f8c646a456
Bayonne;BYE;A;43.496801, -1.470306;64102;87673004;bace1e8a-441b-451d-9d93-f475535678fc
Bazancourt;BZT;B;49.361202, 4.173887;51043;87171462;597f884b-e6e1-4c91-91da-590b9c7cade0
Baziège;BAZ;C;43.4535696, 1.6205019;31048;87611723;3a6225a9-014b-47ee-a328-f3adf3e1f4f7
Béard;BVE;C;46.8652207, 3.3179944;58025;87696468;edb11d2b-509d-4572-8a9a-6449da789892
Beau Marais;BMQ;C;50.945371, 1.8983301;62193;87317610;3e461559-ca22-443e-893a-20f6417c5a1d
Beaucaire;BCK;C;43.80209, 4.6470865;30032;87775023;0e71aa14-2cda-4fc8-bcad-654212571da1
Beaugency;BGY;B;47.778365, 1.625938;45028;87574160;15c9d1cf-e18d-4da6-9c08-9e8bb17dbc36
Beaulieu-sur-Mer;BUM;B;43.706651, 7.331545;06011;87756379;b73b5839-3e0b-4c18-9854-757c6b4cc267
Beaumont-le-Roger;BLR;C;49.0741722, 0.7727865;27051;87387183;3fa6ee89-4519-4167-9d57-c160e32ce2d6
Beaune;BEA;B;47.023053, 4.848379;21054;87713545;135524a0-a5a1-4282-8383-1aabdd774db1
Beaurainville;BIV;C;50.422891, 1.895345;62100;87317198;e65a26a6-b207-4b43-a599-74853c137e36
Beautiran;BIR;B;44.701041, -0.45017;33037;87582700;cd7e4072-8776-4bbc-9756-8113253693bd
Beauvais;BVS;B;49.42648, 2.08869;60057;87313510;70fe9b11-3320-40bf-ad05-bfe2b05849d1
Beauvoir-sur-Niort;BVK;C;46.1768857, -0.4687544;79031;87485342;73ec564d-2a07-4122-8919-1ce9ab0e7a5c
Beauvoisin;BVW;C;43.7245026, 4.3212178;30033;87775809;7cddcee7-1523-481d-bedc-9eb8bc80444c
Bécon les Bruyères;BEC;B;48.90592, 2.26838;92026;87382002;01e5fd69-f87c-4a5c-95c4-7367ed7ff242
Bédarieux;BED;C;43.6086972, 3.1495688;34028;87781609;77e9fd9d-1439-400e-ae3e-d987e656875d
Bédarrides;BDR;C;44.0407636, 4.8931321;84016;87765198;1e4880be-8aee-4e5f-8432-3831cec48358
Bedous;GGM;C;42.99589, -0.60348;64104;87672774;5b6feed2-e112-437a-acd1-e0cf16b6289f
Bègles;BGL;C;44.7995389, -0.5552495;33039;87581801;3b9d8456-be9e-4ac6-b88b-e860717f0bbb
Beillant;BIL;C;45.7007999, -0.5265079;17400;87491076;a978151c-c198-4aa6-bbff-a0699a068559
Belfort;BFT;B;47.633284, 6.853956;90010;87184002;b91c34ca-cef2-4670-ac17-c6e182db9cb7
