route_id,departure_station_id,arrival_station_id,departure_station_name,arrival_station_name,departure_city_name,arrival_city_name,departure_country_name,arrival_country_name,departure_country_code,arrival_country_code,operator_name,is_international,distance_km,trip_count,weekly_frequency,daily_frequency_avg,avg_duration_minutes,min_duration_minutes,max_duration_minutes,main_train_type,has_night_train,has_day_train,avg_num_stops,min_num_stops,max_num_stops,avg_quality_score,min_quality_score,quality_issues_count,co2_train_kg,co2_plane_kg,co2_saving_kg,co2_saving_percent,substitution_score,substitution_potential
3646,6209,97,Paris Gare de Lyon Hall 1 - 2,Munich,Paris Gare de Lyon Hall 1 - 2,Munich,France,France,FR,FR,SNCF VOYAGEURS,0,680.96,1,1.0,0.14,368.0,368.0,368.0,day,0,1,5.0,5,5,100.0,100,0,9.53,156.62,147.09,93.91,67,moyen
3647,14,325,Berlin-Gesundbrunnen,Paris Est,Berlin-Gesundbrunnen,Paris Est,France,France,FR,FR,SNCF VOYAGEURS,0,876.29,4,0.28,0.04,478.75,474.0,488.0,day,0,1,7.25,5,8,100.0,100,0,12.27,201.55,189.28,93.91,67,moyen
3648,16,14,Francfort sur le Main,Berlin-Gesundbrunnen,Francfort sur le Main,Berlin-Gesundbrunnen,France,France,FR,FR,SNCF VOYAGEURS,0,426.05,1,1.0,0.14,251.0,251.0,251.0,day,0,1,4.0,4,4,100.0,100,0,5.96,97.99,92.03,93.91,75,fort
3649,325,14,Paris Est,Berlin-Gesundbrunnen,Paris Est,Berlin-Gesundbrunnen,France,France,FR,FR,SNCF VOYAGEURS,0,876.29,4,1.27,0.18,484.0,482.0,486.0,day,0,1,6.5,5,8,100.0,100,0,12.27,201.55,189.28,93.91,60,moyen
3650,16,4459,Francfort sur le Main,Bordeaux Saint-Jean,Francfort sur le Main,Bordeaux Saint-Jean,France,France,FR,FR,OCEdefault,0,907.2,1,1.0,0.14,463.0,463.0,463.0,day,0,1,11.0,11,11,100.0,100,0,12.7,208.66,195.96,93.91,62,moyen
3651,4459,16,Bordeaux Saint-Jean,Francfort sur le Main,Bordeaux Saint-Jean,Francfort sur le Main,France,France,FR,FR,OCEdefault,0,907.2,4,0.49,0.07,464.5,462.0,472.0,day,0,1,10.0,7,11,100.0,100,0,12.7,208.66,195.96,93.91,57,moyen
3652,173,962,Basel SBB,Mulhouse,Basel SBB,Mulhouse,France,France,FR,FR,SNCF VOYAGEURS,0,28.5,30,1.3,0.19,30.83,23.0,32.0,day,0,1,6.6,1,7,100.0,100,0,0.4,6.56,6.16,93.91,45,moyen
3653,962,173,Mulhouse,Basel SBB,Mulhouse,Basel SBB,France,France,FR,FR,SNCF VOYAGEURS,0,28.5,31,1.34,0.19,30.13,22.0,31.0,day,0,1,6.42,1,7,100.0,100,0,0.4,6.56,6.16,93.91,45,moyen
3654,974,962,Saint-Louis,Mulhouse,Saint-Louis,Mulhouse,France,France,FR,FR,SNCF VOYAGEURS,0,23.24,14,14.0,2.0,22.57,14.0,24.0,day,0,1,4.64,0,5,100.0,100,0,0.33,5.35,5.02,93.91,55,moyen
3655,962,974,Mulhouse,Saint-Louis,Mulhouse,Saint-Louis,France,France,FR,FR,SNCF VOYAGEURS,0,23.24,16,16.0,2.29,23.12,14.0,25.0,day,0,1,4.69,0,5,100.0,100,0,0.33,5.35,5.02,93.91,55,moyen
3656,1370,173,Strasbourg,Basel SBB,Strasbourg,Basel SBB,France,France,FR,FR,SNCF VOYAGEURS,0,115.89,46,1.99,0.28,77.57,77.0,89.0,day,0,1,4.33,4,10,100.0,100,0,1.62,26.65,25.03,93.91,45,moyen
3657,1370,974,Strasbourg,Saint-Louis,Strasbourg,Saint-Louis,France,France,FR,FR,SNCF VOYAGEURS,0,111.37,38,1.65,0.24,70.0,69.0,82.0,day,0,1,3.29,3,8,100.0,100,0,1.56,25.62,24.06,93.91,45,moyen
3658,173,1370,Basel SBB,Strasbourg,Basel SBB,Strasbourg,France,France,FR,FR,SNCF VOYAGEURS,0,115.89,49,2.12,0.3,79.27,75.0,96.0,day,0,1,4.33,3,10,100.0,100,0,1.62,26.65,25.03,93.91,45,moyen
3659,974,1370,Saint-Louis,Strasbourg,Saint-Louis,Strasbourg,France,France,FR,FR,SNCF VOYAGEURS,0,111.37,34,1.48,0.21,70.74,69.0,84.0,day,0,1,3.24,3,7,100.0,100,0,1.56,25.62,24.06,93.91,45,moyen
3660,7129,192,Lyon Part Dieu,Genève Cornavin,Lyon Part Dieu,Genève Cornavin,France,France,FR,FR,SNCF VOYAGEURS,0,111.02,51,3.37,0.48,121.71,115.0,156.0,day,0,1,5.31,2,6,100.0,100,0,1.55,25.53,23.98,93.91,50,moyen
3661,7129,7739,Lyon Part Dieu,Bellegarde,Lyon Part Dieu,Bellegarde,France,France,FR,FR,SNCF VOYAGEURS,0,84.04,11,9.62,1.38,86.0,86.0,86.0,day,0,1,4.45,3,5,100.0,100,0,1.18,19.33,18.15,93.91,50,moyen
3662,7739,7129,Bellegarde,Lyon Part Dieu,Bellegarde,Lyon Part Dieu,France,France,FR,FR,SNCF VOYAGEURS,0,84.04,15,15.0,2.14,82.87,73.0,92.0,day,0,1,3.6,0,6,100.0,100,0,1.18,19.33,18.15,93.91,55,moyen
3663,192,7129,Genève Cornavin,Lyon Part Dieu,Genève Cornavin,Lyon Part Dieu,France,France,FR,FR,SNCF VOYAGEURS,0,111.02,63,4.16,0.59,119.9,112.0,161.0,day,0,1,4.71,1,7,100.0,100,0,1.55,25.53,23.98,93.91,50,moyen
3664,192,7739,Genève Cornavin,Bellegarde,Genève Cornavin,Bellegarde,France,France,FR,FR,SNCF VOYAGEURS,0,27.0,16,1.13,0.16,42.19,30.0,49.0,day,0,1,6.5,0,7,100.0,100,0,0.38,6.21,5.83,93.91,45,moyen
3665,7875,192,Grenoble,Genève Cornavin,Grenoble,Genève Cornavin,France,France,FR,FR,SNCF VOYAGEURS,0,118.05,18,1.06,0.15,133.22,122.0,148.0,day,0,1,5.39,4,8,100.0,100,0,1.65,27.15,25.5,93.91,45,moyen
3666,7875,7739,Grenoble,Bellegarde,Grenoble,Bellegarde,France,France,FR,FR,SNCF VOYAGEURS,0,102.42,3,3.0,0.43,100.0,93.0,113.0,day,0,1,4.67,3,7,100.0,100,0,1.43,23.56,22.12,93.91,50,moyen
3667,7561,192,Aix-les-Bains le Revard,Genève Cornavin,Aix-les-Bains le Revard,Genève Cornavin,France,France,FR,FR,SNCF VOYAGEURS,0,60.78,7,7.0,1.0,71.0,63.0,79.0,day,0,1,1.43,1,3,100.0,100,0,0.85,13.98,13.13,93.91,50,moyen
3668,8261,192,Valence Ville,Genève Cornavin,Valence Ville,Genève Cornavin,France,France,FR,FR,SNCF VOYAGEURS,0,172.56,21,1.0,0.14,202.0,195.0,206.0,day,0,1,8.0,8,8,100.0,100,0,2.42,39.69,37.27,93.91,50,moyen
3669,8261,7739,Valence Ville,Bellegarde,Valence Ville,Bellegarde,France,France,FR,FR,SNCF VOYAGEURS,0,150.02,4,4.0,0.57,172.0,166.0,188.0,day,0,1,7.0,7,7,100.0,100,0,2.1,34.5,32.4,93.91,60,moyen
3670,7739,192,Bellegarde,Genève Cornavin,Bellegarde,Genève Cornavin,France,France,FR,FR,SNCF VOYAGEURS,0,27.0,20,1.52,0.22,43.3,35.0,49.0,day,0,1,6.2,0,7,100.0,100,0,0.38,6.21,5.83,93.91,45,moyen
